374,8,167,1,0,1,1,4000
375,5,168,1,12.9740518962076,1,1,5500
376,5,169,1,12.9740518962076,1,1,5500
377,5,170,1,12.9740518962076,1,1,5500
378,5,171,1,12.9740518962076,1,1,5500
379,5,171,-1,12.9740518962076,1,1,5500
380,8,172,1,0,1,1,4000
381,5,173,1,12.9740518962076,1,1,5500
382,5,174,1,12.9740518962076,1,1,5500
383,5,175,1,12.9740518962076,1,1,5500
384,8,176,1,0,1,1,4000
385,8,177,1,0,1,1,4000
386,8,178,1,0,1,1,4000
387,8,179,1,0,1,1,4000
388,8,180,1,0,1,1,4000
389,8,180,1,0,1,1,4000
390,8,181,1,0,1,1,4000
391,8,182,1,0,1,1,4000
392,9,183,1,0,1,1,4000
393,9,184,1,0,1,1,4000
394,52,184,1,0,0,2,522
395,52,184,1,0,0,2,522
396,9,185,1,0,1,1,4000
397,9,186,1,0,1,1,4000
398,8,187,1,0,1,1,4000
399,5,187,5,15.1218407067721,1,1,5500
400,8,188,1,0,1,1,4000
401,5,189,2,15.1218407067721,1,1,5500
